ENERGY_BIN_INDEX,current_FHT,energy_FHT,error_FHT,current_PAN,energy_PAN,error_PAN,current_SPA,energy_SPA,error_SPA,current_nPKT,energy_nPKT,error_nPKT,current_PKT,energy_PKT,error_PKT
85,0.005599379,5.8806e-07,0.0125,0.005734763,5.8806e-07,0.0125,0.005368932,5.8806e-07,0.0126,0.0050946,5.8806e-07,0.0123,0.004956529,5.8806e-07,0.0123
86,0.005721863,6.3388e-07,0.0124,0.005720291,6.3388e-07,0.0125,0.005585579,6.3388e-07,0.0124,0.005090892,6.3388e-07,0.0123,0.005050356,6.3388e-07,0.0122
87,0.005689703,6.8326e-07,0.0125,0.005616611,6.8326e-07,0.0126,0.005423436,6.8326e-07,0.0127,0.005249436,6.8326e-07,0.0122,0.00506016,6.8326e-07,0.0123
88,0.005647751,7.3649e-07,0.0126,0.005669051,7.3649e-07,0.0127,0.005471531,7.3649e-07,0.0126,0.005252952,7.3649e-07,0.0123,0.005254116,7.3649e-07,0.0122
89,0.005721167,7.9387e-07,0.0126,0.005714795,7.9387e-07,0.0126,0.005674043,7.9387e-07,0.0124,0.00533898,7.9387e-07,0.0123,0.005293656,7.9387e-07,0.0122
90,0.005654291,8.5572e-07,0.0127,0.005874022,8.5572e-07,0.0125,0.005637815,8.5572e-07,0.0125,0.005430672,8.5572e-07,0.0122,0.00520722,8.5572e-07,0.0123
91,0.005750147,9.2239e-07,0.0126,0.005956906,9.2239e-07,0.0125,0.005652479,9.2239e-07,0.0125,0.005375748,9.2239e-07,0.0123,0.005273112,9.2239e-07,0.0123
92,0.005751575,9.9425e-07,0.0126,0.005956318,9.9425e-07,0.0124,0.005760251,9.9425e-07,0.0125,0.005445743,9.9425e-07,0.0123,0.005439791,9.9425e-07,0.0122
93,0.005870434,1.0717e-06,0.0125,0.005819963,1.0717e-06,0.0126,0.005756915,1.0717e-06,0.0125,0.005564411,1.0717e-06,0.0123,0.005479499,1.0717e-06,0.0122
94,0.005926942,1.1552e-06,0.0125,0.005985958,1.1552e-06,0.0125,0.005705687,1.1552e-06,0.0126,0.005685623,1.1552e-06,0.0122,0.005544791,1.1552e-06,0.0122
95,0.005983498,1.2452e-06,0.0124,0.006033994,1.2452e-06,0.0124,0.005869318,1.2452e-06,0.0125,0.005621459,1.2452e-06,0.0122,0.005557415,1.2452e-06,0.0122
96,0.005969218,1.3422e-06,0.0125,0.005965834,1.3422e-06,0.0126,0.00587785,1.3422e-06,0.0124,0.005751311,1.3422e-06,0.0122,0.005585627,1.3422e-06,0.0122
97,0.005994262,1.4468e-06,0.0125,0.005951794,1.4468e-06,0.0126,0.005855651,1.4468e-06,0.0125,0.005812595,1.4468e-06,0.0121,0.005753591,1.4468e-06,0.0121
98,0.00603025,1.5595e-06,0.0124,0.006130342,1.5595e-06,0.0125,0.005962942,1.5595e-06,0.0124,0.005821379,1.5595e-06,0.0122,0.005749631,1.5595e-06,0.0121
99,0.006137134,1.681e-06,0.0124,0.00625063,1.681e-06,0.0123,0.006064246,1.681e-06,0.0123,0.005903434,1.681e-06,0.0121,0.005707391,1.681e-06,0.0122
100,0.006006922,1.8119e-06,0.0125,0.00613027,1.8119e-06,0.0125,0.005951158,1.8119e-06,0.0125,0.005948734,1.8119e-06,0.0121,0.005849423,1.8119e-06,0.0121
101,0.006046702,1.9531e-06,0.0125,0.00616021,1.9531e-06,0.0124,0.006088534,1.9531e-06,0.0124,0.005990386,1.9531e-06,0.0121,0.006009934,1.9531e-06,0.012
102,0.006069226,2.1053e-06,0.0125,0.006225622,2.1053e-06,0.0124,0.005969866,2.1053e-06,0.0125,0.006186862,2.1053e-06,0.0119,0.006072574,2.1053e-06,0.012
103,0.006279046,2.2693e-06,0.0123,0.006237802,2.2693e-06,0.0124,0.00609907,2.2693e-06,0.0124,0.006152098,2.2693e-06,0.012,0.006079498,2.2693e-06,0.012
104,0.006157462,2.4461e-06,0.0124,0.006129658,2.4461e-06,0.0125,0.006054562,2.4461e-06,0.0125,0.006149986,2.4461e-06,0.012,0.006256894,2.4461e-06,0.0119
105,0.006146662,2.6367e-06,0.0125,0.006333201,2.6367e-06,0.0123,0.006191266,2.6367e-06,0.0124,0.006104314,2.6367e-06,0.0121,0.006174082,2.6367e-06,0.012
106,0.006220258,2.8421e-06,0.0124,0.006293566,2.8421e-06,0.0124,0.006171202,2.8421e-06,0.0124,0.006317529,2.8421e-06,0.012,0.006310845,2.8421e-06,0.0119
107,0.006327645,3.0635e-06,0.0123,0.006436581,3.0635e-06,0.0123,0.006329205,3.0635e-06,0.0123,0.006321393,3.0635e-06,0.012,0.006376929,3.0635e-06,0.0119
108,0.006302349,3.3022e-06,0.0124,0.006240646,3.3022e-06,0.0125,0.006374229,3.3022e-06,0.0122,0.006361137,3.3022e-06,0.012,0.00626023,3.3022e-06,0.012
109,0.006304425,3.5594e-06,0.0124,0.006472329,3.5594e-06,0.0123,0.006362493,3.5594e-06,0.0122,0.006412389,3.5594e-06,0.0119,0.006437121,3.5594e-06,0.0119
110,0.006403989,3.8367e-06,0.0123,0.006527745,3.8367e-06,0.0122,0.006427845,3.8367e-06,0.0122,0.006381009,3.8367e-06,0.012,0.006572241,3.8367e-06,0.0118
111,0.006252634,4.1356e-06,0.0124,0.006491493,4.1356e-06,0.0123,0.006468069,4.1356e-06,0.0122,0.006547089,4.1356e-06,0.0119,0.006540789,4.1356e-06,0.0118
112,0.006410037,4.4578e-06,0.0123,0.006565401,4.4578e-06,0.0122,0.006323241,4.4578e-06,0.0123,0.006560421,4.4578e-06,0.0119,0.006613773,4.4578e-06,0.0118
113,0.006558333,4.8051e-06,0.0122,0.006596457,4.8051e-06,0.0122,0.006426705,4.8051e-06,0.0122,0.006673905,4.8051e-06,0.0118,0.006709749,4.8051e-06,0.0117
114,0.006627357,5.1795e-06,0.0121,0.006701133,5.1795e-06,0.0121,0.006471789,5.1795e-06,0.0122,0.006651801,5.1795e-06,0.0119,0.006556293,5.1795e-06,0.0119
115,0.006482781,5.583e-06,0.0123,0.006583185,5.583e-06,0.0122,0.006506253,5.583e-06,0.0122,0.006578937,5.583e-06,0.012,0.006822344,5.583e-06,0.0117
116,0.006563913,6.018e-06,0.0122,0.006759692,6.018e-06,0.0121,0.006647721,6.018e-06,0.0121,0.006610809,6.018e-06,0.0119,0.006755348,6.018e-06,0.0118
117,0.006422877,6.4868e-06,0.0124,0.006680085,6.4868e-06,0.0122,0.006657693,6.4868e-06,0.0121,0.00697646,6.4868e-06,0.0117,0.006921356,6.4868e-06,0.0117
118,0.006761132,6.9922e-06,0.0121,0.006692913,6.9922e-06,0.0122,0.006695829,6.9922e-06,0.0121,0.006768488,6.9922e-06,0.0119,0.007025816,6.9922e-06,0.0116
119,0.006903968,7.5369e-06,0.0119,0.00695702,7.5369e-06,0.0119,0.006841796,7.5369e-06,0.012,0.007037336,7.5369e-06,0.0117,0.006953024,7.5369e-06,0.0117
120,0.006846212,8.1241e-06,0.012,0.006835628,8.1241e-06,0.012,0.006798728,8.1241e-06,0.012,0.00693548,8.1241e-06,0.0117,0.006939968,8.1241e-06,0.0116
121,0.006840176,8.757e-06,0.012,0.006735728,8.757e-06,0.0121,0.006882284,8.757e-06,0.012,0.00708818,8.757e-06,0.0116,0.007119092,8.757e-06,0.0116
122,0.00685034,9.4392e-06,0.012,0.006882992,9.4392e-06,0.012,0.006739796,9.4392e-06,0.0121,0.007050848,9.4392e-06,0.0117,0.007289335,9.4392e-06,0.0115
123,0.006897812,1.0175e-05,0.012,0.006983996,1.0175e-05,0.0119,0.006891224,1.0175e-05,0.012,0.00712988,1.0175e-05,0.0117,0.007215499,1.0175e-05,0.0115
124,0.006992444,1.0967e-05,0.0119,0.007038476,1.0967e-05,0.0119,0.007002032,1.0967e-05,0.0119,0.007302739,1.0967e-05,0.0116,0.007241431,1.0967e-05,0.0115
125,0.006983936,1.1822e-05,0.0119,0.006853088,1.1822e-05,0.012,0.0070271,1.1822e-05,0.0119,0.007265551,1.1822e-05,0.0116,0.007298671,1.1822e-05,0.0115
126,0.006988376,1.2743e-05,0.0119,0.007025168,1.2743e-05,0.0119,0.0070835,1.2743e-05,0.0118,0.007354519,1.2743e-05,0.0115,0.007318423,1.2743e-05,0.0115
127,0.007062656,1.3736e-05,0.0119,0.007137452,1.3736e-05,0.0118,0.007091408,1.3736e-05,0.0118,0.007436359,1.3736e-05,0.0114,0.007482823,1.3736e-05,0.0114
128,0.006946148,1.4806e-05,0.012,0.007052732,1.4806e-05,0.0119,0.007055936,1.4806e-05,0.0119,0.007331863,1.4806e-05,0.0116,0.007560283,1.4806e-05,0.0114
129,0.007005356,1.5959e-05,0.0119,0.007156916,1.5959e-05,0.0118,0.007187635,1.5959e-05,0.0118,0.007498183,1.5959e-05,0.0115,0.007440319,1.5959e-05,0.0115
130,0.007270963,1.7202e-05,0.0118,0.007270975,1.7202e-05,0.0118,0.007231843,1.7202e-05,0.0118,0.007605426,1.7202e-05,0.0114,0.007466647,1.7202e-05,0.0114
131,0.007361491,1.8543e-05,0.0117,0.007275619,1.8543e-05,0.0118,0.007086968,1.8543e-05,0.0119,0.007596595,1.8543e-05,0.0114,0.007621134,1.8543e-05,0.0113
